MaxAir,MinAir,Precip,Count,MinAirQ,S1,S2
3.3,-8.3,0,4,68.89,1,1
17.8,-3.3,0,4,10.89,1,1
19.4,3.9,2.2,4,15.21,1,1
20,1.1,0,2,1.21,1,1
24.4,16.7,0.1,2,278.89,1,1
18.3,11.7,0.1,2,136.89,1,1
23.9,11.1,0.9,2,123.21,1,1
-1.1,-7.8,0,0,60.84,1,1
3.3,-8.3,0,0,68.89,1,1
17.8,-3.3,0,0,10.89,1,1
19.4,3.9,2.2,0,15.21,1,1
20,1.1,0,1,1.21,1,1
24.4,16.7,0.1,1,278.89,1,1
18.3,11.7,0.1,1,136.89,1,1
23.9,11.1,0.9,1,123.21,1,1
-1.1,-7.8,0,0,60.84,1,0
3.3,-8.3,0,0,68.89,1,0
17.8,-3.3,0,0,10.89,1,0
19.4,3.9,2.2,0,15.21,1,0
20,1.1,0,0,1.21,1,0
24.4,16.7,0.1,0,278.89,1,0
18.3,11.7,0.1,0,136.89,1,0
23.9,11.1,0.9,0,123.21,1,0
-1.1,-7.8,0,0,60.84,1,1
3.3,-8.3,0,0,68.89,1,1
17.8,-3.3,0,0,10.89,1,1
19.4,3.9,2.2,0,15.21,1,1
20,1.1,0,5,1.21,1,1
24.4,16.7,0.1,5,278.89,1,1
18.3,11.7,0.1,5,136.89,1,1
23.9,11.1,0.9,5,123.21,1,1
-1.1,-7.8,0,0,60.84,1,0
3.3,-8.3,0,0,68.89,1,0
17.8,-3.3,0,0,10.89,1,0
19.4,3.9,2.2,0,15.21,1,0
20,1.1,0,0,1.21,1,0
24.4,16.7,0.1,0,278.89,1,0
18.3,11.7,0.1,0,136.89,1,0
23.9,11.1,0.9,0,123.21,1,0
-1.1,-7.8,0,0,60.84,0,1
3.3,-8.3,0,0,68.89,0,1
17.8,-3.3,0,0,10.89,0,1
19.4,3.9,2.2,0,15.21,0,1
20,1.1,0,2,1.21,0,1
24.4,16.7,0.1,2,278.89,0,1
18.3,11.7,0.1,2,136.89,0,1
23.9,11.1,0.9,2,123.21,0,1
-1.1,-7.8,0,9,60.84,1,0
3.3,-8.3,0,9,68.89,1,0
17.8,-3.3,0,9,10.89,1,0
19.4,3.9,2.2,9,15.21,1,0
20,1.1,0,0,1.21,1,0
24.4,16.7,0.1,0,278.89,1,0
18.3,11.7,0.1,0,136.89,1,0
23.9,11.1,0.9,0,123.21,1,0
13,3.6,0,0,12.96,1,1
20.8,5.9,0,0,34.81,1,1
15.1,3,0,0,9,1,1
5.1,-1.6,0,0,2.56,1,1
23.7,9,0,0,81,1,1
22,12.9,0,0,166.41,1,1
20.6,15.6,0.1,0,243.36,1,1
24.5,16.2,5.5,0,262.44,1,1
3,1,2.3,0,1,1,1
9,-2,0.5,0,4,1,1
9,-3,0,0,9,1,1
15,-1,0,0,1,1,1
11,5,5,12,25,1,1
11,0,0,12,0,1,1
15,0,0,12,0,1,1
15,-1,0,12,1,1,1
3,1,2.3,0,1,1,1
9,-2,0.5,0,4,1,1
9,-3,0,0,9,1,1
15,-1,0,0,1,1,1
11,5,5,1,25,1,1
11,0,0,1,0,1,1
15,0,0,1,0,1,1
15,-1,0,1,1,1,1
3,1,2.3,1,1,1,0
9,-2,0.5,1,4,1,0
9,-3,0,1,9,1,0
15,-1,0,1,1,1,0
11,5,5,0,25,1,0
11,0,0,0,0,1,0
15,0,0,0,0,1,0
15,-1,0,0,1,1,0
3,1,2.3,7,1,1,0
9,-2,0.5,7,4,1,0
9,-3,0,7,9,1,0
15,-1,0,7,1,1,0
11,5,5,0,25,1,0
11,0,0,0,0,1,0
15,0,0,0,0,1,0
15,-1,0,0,1,1,0
3,1,2.3,0,1,0,1
9,-2,0.5,0,4,0,1
9,-3,0,0,9,0,1
15,-1,0,0,1,0,1
11,5,5,2,25,0,1
11,0,0,2,0,0,1
15,0,0,2,0,0,1
15,-1,0,2,1,0,1
3,1,2.3,0,1,0,1
9,-2,0.5,0,4,0,1
9,-3,0,0,9,0,1
15,-1,0,0,1,0,1
11,5,5,0,25,0,1
11,0,0,0,0,0,1
15,0,0,0,0,0,1
15,-1,0,0,1,0,1
3,1,2.3,5,1,1,1
9,-2,0.5,5,4,1,1
9,-3,0,5,9,1,1
15,-1,0,5,1,1,1
11,5,5,2,25,1,1
11,0,0,2,0,1,1
15,0,0,2,0,1,1
15,-1,0,2,1,1,1
3,1,2.3,0,1,0,1
9,-2,0.5,0,4,0,1
9,-3,0,0,9,0,1
15,-1,0,0,1,0,1
11,5,5,18,25,0,1
11,0,0,18,0,0,1
15,0,0,18,0,0,1
15,-1,0,18,1,0,1
13,3.6,0,4,12.96,1,1
20.8,5.9,0,4,34.81,1,1
15.1,3,0,4,9,1,1
5.1,-1.6,0,4,2.56,1,1
23.7,9,0,0,81,1,1
22,12.9,0,0,166.41,1,1
20.6,15.6,0.1,0,243.36,1,1
24.5,16.2,5.5,0,262.44,1,1
13,3.6,0,0,12.96,1,1
20.8,5.9,0,0,34.81,1,1
15.1,3,0,0,9,1,1
5.1,-1.6,0,0,2.56,1,1
23.7,9,0,0,81,1,1
22,12.9,0,0,166.41,1,1
20.6,15.6,0.1,0,243.36,1,1
24.5,16.2,5.5,0,262.44,1,1
13,3.6,0,0,12.96,1,0
20.8,5.9,0,0,34.81,1,0
15.1,3,0,0,9,1,0
5.1,-1.6,0,0,2.56,1,0
23.7,9,0,0,81,1,0
22,12.9,0,0,166.41,1,0
20.6,15.6,0.1,0,243.36,1,0
24.5,16.2,5.5,0,262.44,1,0
15,0.6,0,4,0.36,1,0
18.9,2.8,0,4,7.84,1,0
